City,Scenarios Ω,Time Bounds [s],IsOpt,Ub,Time Cplex [s],Benders Cuts,AvgTrips Ω400,UB Ω400,M2 Ω400,LB Ω400,Gap M2-UB,Gap M2-LB
New York,75," 17,004.7 ",1," 94,310.8 ",30.2,0," 96,220.6 "," 95,532.3 "," 94,557.1 "," 93,263.8 ",1.0%,1.4%
New York,50," 11,449.9 ",1," 94,284.4 ",15.7,0," 96,220.6 "," 95,532.3 "," 94,533.8 "," 93,235.2 ",1.1%,1.4%
New York,25," 5,730.5 ",1," 94,334.2 ",11.8,0," 96,220.6 "," 95,532.3 "," 94,456.5 "," 93,128.3 ",1.1%,1.4%
New York,15," 3,509.1 ",1," 94,550.4 ",11.0,0," 96,220.6 "," 95,532.3 "," 94,330.2 "," 92,968.0 ",1.3%,1.5%
"San 
Francisco",100, 24.1 ,1," 4,529.7 ",1.7,0," 4,585.7 "," 4,582.4 "," 4,530.2 "," 4,513.8 ",1.2%,0.4%
"San 
Francisco",75, 17.4 ,1," 4,515.3 ",1.1,0," 4,585.7 "," 4,582.4 "," 4,527.9 "," 4,511.4 ",1.2%,0.4%
"San 
Francisco",50, 11.9 ,1," 4,540.0 ",0.5,0," 4,585.7 "," 4,582.4 "," 4,525.4 "," 4,508.6 ",1.3%,0.4%
"San 
Francisco",25, 6.6 ,1," 4,508.3 ",0.2,0," 4,585.7 "," 4,582.4 "," 4,514.7 "," 4,495.9 ",1.5%,0.4%
"San 
Francisco",15, 3.9 ,1," 4,546.1 ",0.2,0," 4,585.7 "," 4,582.4 "," 4,497.2 "," 4,476.3 ",1.9%,0.5%
Toronto,100, 418.0 ,1," 17,710.7 ",3.1,0," 18,654.9 "," 18,073.8 "," 17,752.6 "," 17,001.2 ",1.8%,4.4%
Toronto,75, 319.6 ,1," 17,718.5 ",2.5,0," 18,654.9 "," 18,073.8 "," 17,749.7 "," 17,001.2 ",1.8%,4.4%
Toronto,50, 219.2 ,1," 17,720.8 ",1.4,0," 18,654.9 "," 18,073.8 "," 17,743.2 "," 16,989.8 ",1.9%,4.4%
Toronto,25, 109.2 ,1," 17,706.9 ",0.9,0," 18,654.9 "," 18,073.8 "," 17,724.4 "," 16,971.3 ",2.0%,4.4%
Toronto,15, 65.6 ,1," 17,774.1 ",0.7,0," 18,654.9 "," 18,073.8 "," 17,699.3 "," 16,942.9 ",2.1%,4.5%
"Washington 
DC",100, 155.3 ,1," 10,655.0 ",2.1,0," 11,044.6 "," 10,910.3 "," 10,685.1 "," 10,401.7 ",2.1%,2.7%
"Washington 
DC",75, 119.3 ,1," 10,621.0 ",1.4,0," 11,044.6 "," 10,910.3 "," 10,682.8 "," 10,398.4 ",2.1%,2.7%
"Washington 
DC",50, 76.6 ,1," 10,630.8 ",0.7,0," 11,044.6 "," 10,910.3 "," 10,678.8 "," 10,390.6 ",2.2%,2.8%
"Washington 
DC",25, 44.2 ,1," 10,649.4 ",0.5,0," 11,044.6 "," 10,910.3 "," 10,660.3 "," 10,375.8 ",2.3%,2.7%
"Washington 
DC",15, 24.6 ,1," 10,680.1 ",0.3,0," 11,044.6 "," 10,910.3 "," 10,630.2 "," 10,335.2 ",2.6%,2.9%
,,,,,,,,,,,1.6%,3.0%
